Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
RU000A10BAP4 ,ЭталонФин3 ,"20,96",333,5294478,RUB,1000,SUR,"112,99","112,3","113,98","112,75","17,51",,- ,- ,01.04.27,,- ,"112,8","18,16",- ,- ,- ,04.09.25,476,17.3252,476,398,398,04.09.25 18:49
RU000A108TU5 ,Джи-гр 2Р4 ,- ,165,5267209,RUB,1000,SUR,"97,25","97,14","97,46","97,36","26,32",,- ,- ,12.12.26,,- ,"97,35","9,28",- ,- ,- ,04.09.25,402,27.5761,402,1384,1382,04.09.25 18:49
RU000A10C3N8 ,МИРРИКО1P3 ,"18,49",327,5189469,RUB,1000,SUR,"99,11","98,9","99,41","99,41","25,33",,- ,- ,02.07.28,,- ,"99,18","11,1",- ,- ,- ,04.09.25,737,25.5155,737,1183,1189,04.09.25 18:49
RU000A10A414 ,ПКБ 1Р-06 ,- ,144,5161761,RUB,1000,SUR,"101,07","100,91","101,79","101,3","24,59",,- ,- ,07.11.27,,- ,"101,56","10,08",- ,- ,- ,04.09.25,572,28.5807,572,1489,1493,04.09.25 18:49
RU000A106MW0 ,ТГК-14 1Р2 ,"32,04",232,5143758,RUB,1000,SUR,"90,83","90,46","90,98","90,9","20,01",,- ,- ,27.07.27,,- ,"90,9","13,03",- ,- ,- ,04.09.25,611,20.0656,611,654,656,04.09.25 18:49
RU000A106AJ2 ,АЛЬФАБ2Р23 ,"48,13",102,5108849,RUB,1000,SUR,"98,13","98,1","98,4","98,33","16,54",,- ,"16,5424",30.11.25,,- ,"98,14","25,25",- ,- ,- ,04.09.25,86,18.614,85,228,228,04.09.25 18:49
RU000A107ET1 ,ГазКап2P11 ,- ,243,5073866,RUB,1000,SUR,"100,06","99,99","100,2","100,2","21,62",,- ,- ,14.12.27,,- ,"100,19","43,7",- ,- ,- ,04.09.25,830,-0.0264,830,,-1353,04.09.25 18:49
RU000A10B115 ,РЖД 1Р-40R ,"14,51",159,5064984,RUB,1000,SUR,"114,64","114,57","114,69","114,65","14,29",15.05.30,"14,2499",- ,14.01.35,15.05.30,15.05.30,"114,64","0,48",- ,- ,- ,04.09.25,1214,14.2529,1214,69,76,04.09.25 18:49
RU000A10BBW8 ,ГазКап1P12 ,"6,37",26,5026484,EUR,1000,SUR,"104,567","104,3574","106,5739","104,6563","6,01",,- ,- ,29.04.28,,- ,"104,6398","440,1657",- ,- ,- ,04.09.25,875,31.05.59,875,-746,-744,04.09.25 18:49
RU000A10B2T8 ,ВИС Ф БП08 ,"19,73",186,5020825,RUB,1000,SUR,"111,08","110,49","111,97","111,1","16,79",,- ,- ,04.03.27,,- ,"111,19","15,78",- ,- ,- ,04.09.25,461,16.8081,461,325,324,04.09.25 18:49
